"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.2","...","1012.3","2022-05-01 23:12","1008.6","2022-05-01 14:38","21.8","24.2","2022-05-01 12:11","19.0","2022-05-01 21:51","...","83","75","2022-05-01 11:55","4.9","27","20.1","42","2022-05-01 22:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1011.3","...","1012.7","2022-05-02 00:04","1010.0","2022-05-02 02:44","17.6","19.7","2022-05-02 00:32","15.7","2022-05-02 04:54","...","93","88","2022-05-02 00:01","4.6","29","17.9","33","2022-05-02 01:09","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.0","...","1013.2","2022-05-03 09:54","1010.7","2022-05-03 03:37","22.3","26.3","2022-05-03 13:22","17.6","2022-05-03 00:01","...","84","73","2022-05-03 13:21","2.1","25","13.6","33","2022-05-03 02:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1010.4","...","1012.2","2022-05-04 00:01","1008.8","2022-05-04 15:56","24.9","28.5","2022-05-04 16:04","22.7","2022-05-04 02:41","...","89","76","2022-05-04 14:44","2.9","8","11.1","7","2022-05-04 20:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.1","...","1010.6","2022-05-05 10:22","1007.6","2022-05-05 16:41","24.9","26.8","2022-05-05 09:31","23.8","2022-05-05 21:32","...","90","84","2022-05-05 15:21","3.7","20","13.8","12","2022-05-05 10:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1009.4","...","1011.0","2022-05-06 10:22","1008.1","2022-05-06 03:14","25.5","28.4","2022-05-06 10:43","23.8","2022-05-06 00:25","...","88","79","2022-05-06 10:49","4.0","18","13.3","20","2022-05-06 11:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1010.4","...","1012.0","2022-05-07 22:11","1008.9","2022-05-07 16:24","25.7","28.1","2022-05-07 13:11","24.0","2022-05-07 05:34","...","88","79","2022-05-07 09:41","3.8","21","14.8","10","2022-05-07 15:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.7","...","1012.0","2022-05-08 11:21","1009.2","2022-05-08 04:45","25.3","28.0","2022-05-08 12:51","24.3","2022-05-08 03:35","...","89","82","2022-05-08 09:09","3.5","17","13.7","5","2022-05-08 15:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1010.5","...","1012.2","2022-05-09 10:11","1008.8","2022-05-09 16:23","25.1","26.9","2022-05-09 13:31","24.5","2022-05-09 19:26","...","94","87","2022-05-09 13:40","3.4","15","13.5","9","2022-05-09 12:07","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1008.6","...","...","...","...","...","25.6","...","...","...","...","...","92","...","...","2.7","15","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1007.7","...","1010.0","2022-05-11 09:26","1006.3","2022-05-11 03:36","26.1","30.5","2022-05-11 13:52","22.8","2022-05-11 06:46","...","91","69","2022-05-11 14:02","2.0","27","9.0","11","2022-05-11 05:30","45.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
