,ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,最大十分鐘降水量,最大十分鐘降水量起始時間,最大六十分鐘降水量,最大六十分鐘降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量,日最高紫外線指數,日最高紫外線指數時間,總雲量
0,1,2020/6/9,,630,8.37,499.8,25.11,121.26,22.0,2325,26.3,MM60-6RT-300,1007.4 ,1009.9 ,1008.3 ,2020-06-09 11:22 ,1006.0 ,2020-06-09 03:46 ,26.4 ,29.1 ,2020-06-09 13:52 ,24.2 ,2020-06-09 00:01 ,23.4 ,84 ,71 ,2020-06-09 19:30 ,3.0 ,230 ,12.8 ,250 ,2020-06-09 16:38 ,0.5 ,0.8 ,0.5 ,2020-06-09 16:45 ,0.5 ,2020-06-09 16:34 ,0.1 ,0.7 ,9.25 ,17.5 ,-2.6 ,5 ,2020-06-09 12:00 ,8.5 
1,2,2020/6/10,,2246,17.11,499.8,25.11,121.26,22.0,4753,27.9,MM60-6RT-300,1007.2 ,1009.6 ,1008.6 ,2020-06-10 09:26 ,1005.6 ,2020-06-10 16:18 ,27.8 ,30.7 ,2020-06-10 12:09 ,24.5 ,2020-06-10 00:11 ,24.5 ,82 ,70 ,2020-06-10 08:23 ,4.2 ,220 ,12.9 ,240 ,2020-06-10 09:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.6 ,26.4 ,19.95 ,17.7 ,4.3 ,12 ,2020-06-10 12:00 ,9.3 
2,3,2020/6/11,,1147,12.26,499.8,25.11,121.26,22.0,3406,28.0,MM60-6RT-300,1005.9 ,1008.4 ,1007.4 ,2020-06-11 00:01 ,1004.2 ,2020-06-11 17:18 ,27.8 ,29.1 ,2020-06-11 10:44 ,26.2 ,2020-06-11 23:51 ,26.0 ,90 ,87 ,2020-06-11 00:01 ,3.7 ,230 ,9.6 ,230 ,2020-06-11 12:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,8.43 ,16.3 ,1.7 ,5 ,2020-06-11 12:00 ,10.0 
3,4,2020/6/12,,2946,21.51,499.8,25.11,121.26,22.0,5975,28.6,MM60-6RT-300,1005.0 ,1007.4 ,1006.6 ,2020-06-12 09:52 ,1003.2 ,2020-06-12 17:35 ,28.7 ,31.5 ,2020-06-12 13:03 ,26.1 ,2020-06-12 00:08 ,25.9 ,85 ,75 ,2020-06-12 16:14 ,2.0 ,210 ,6.5 ,290 ,2020-06-12 11:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.4 ,83.7 ,28.21 ,17.3 ,6.1 ,13 ,2020-06-12 12:00 ,5.7 
4,5,2020/6/13,,3139,23.18,499.8,25.11,121.26,22.0,6439,29.1,MM60-6RT-300,1006.3 ,1008.7 ,1009.4 ,2020-06-13 22:17 ,1003.5 ,2020-06-13 02:16 ,29.1 ,32.1 ,2020-06-13 13:50 ,26.0 ,2020-06-13 04:09 ,26.0 ,84 ,73 ,2020-06-13 10:16 ,1.7 ,320 ,7.2 ,310 ,2020-06-13 15:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,66.0 ,26.00 ,15.3 ,5.8 ,13 ,2020-06-13 12:00 ,3.8 
5,6,2020/6/14,,2618,18.57,499.8,25.11,121.26,22.0,5158,28.3,MM60-6RT-300,1010.0 ,1012.4 ,1012.2 ,2020-06-14 21:11 ,1007.4 ,2020-06-14 02:32 ,28.8 ,32.0 ,2020-06-14 13:21 ,26.2 ,2020-06-14 21:43 ,25.9 ,84 ,74 ,2020-06-14 11:28 ,3.0 ,250 ,8.4 ,240 ,2020-06-14 17:28 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,77.0 ,26.64 ,17.3 ,6.9 ,13 ,2020-06-14 12:00 ,4.5 
6,7,2020/6/15,,3093,27.04,499.8,25.11,121.26,22.0,7511,29.0,MM60-6RT-300,1009.8 ,1012.3 ,1011.7 ,2020-06-15 00:01 ,1008.2 ,2020-06-15 15:08 ,28.7 ,31.2 ,2020-06-15 12:20 ,25.8 ,2020-06-15 01:43 ,25.7 ,84 ,78 ,2020-06-15 13:23 ,5.8 ,230 ,14.9 ,250 ,2020-06-15 13:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.5 ,91.6 ,28.47 ,19.7 ,6.7 ,12 ,2020-06-15 12:00 ,3.5 
7,8,2020/6/16,,3256,28.65,499.8,25.11,121.26,22.0,7958,29.3,MM60-6RT-300,1006.9 ,1009.4 ,1008.8 ,2020-06-16 00:01 ,1005.3 ,2020-06-16 15:55 ,28.9 ,30.9 ,2020-06-16 12:36 ,26.6 ,2020-06-16 01:52 ,24.9 ,79 ,69 ,2020-06-16 21:21 ,7.4 ,230 ,15.9 ,240 ,2020-06-16 11:48 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.8 ,93.8 ,28.48 ,23.7 ,8.6 ,13 ,2020-06-16 12:00 ,2.2 
8,9,2020/6/17,,3280,28.63,499.8,25.11,121.26,22.0,7953,29.2,MM60-6RT-300,1005.5 ,1007.9 ,1006.6 ,2020-06-17 21:43 ,1004.3 ,2020-06-17 15:34 ,29.3 ,31.4 ,2020-06-17 13:37 ,26.8 ,2020-06-17 00:24 ,25.1 ,78 ,68 ,2020-06-17 10:45 ,8.3 ,230 ,18.1 ,220 ,2020-06-17 10:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.9 ,94.5 ,28.90 ,20.7 ,7.4 ,13 ,2020-06-17 12:00 ,5.3 
9,10,2020/6/18,,3238,28.6,499.8,25.11,121.26,22.0,7944,29.4,MM60-6RT-300,1005.5 ,1007.9 ,1007.6 ,2020-06-18 08:43 ,1003.8 ,2020-06-18 17:04 ,29.4 ,31.5 ,2020-06-18 13:17 ,27.5 ,2020-06-18 04:40 ,24.8 ,77 ,68 ,2020-06-18 13:01 ,8.7 ,230 ,16.5 ,220 ,2020-06-18 10:01 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.3 ,90.1 ,28.50 ,18.0 ,8.7 ,13 ,2020-06-18 12:00 ,4.7 
